Frame,Time,Temperature,Arduino_Line,Distance,CircleLeft_X,CircleLeft_Y,CircleLeft_Radius,CircleRight_X,CircleRight_Y,CircleRight_Radius
99.0,2385628.0,591.2,11879.0,992.01,1491.5,673.5,177.1999969482422,499.5,670.5,169.5
100.0,2385628.0,591.2,11879.0,992.0,1491.5,673.5,177.1999969482422,500.5,672.5,170.60000610351562
101.0,2385628.0,591.2,11879.0,992.01,1491.5,673.5,177.1999969482422,499.5,670.5,168.39999389648438
102.0,2385628.0,591.2,11879.0,990.02,1490.5,673.5,177.1999969482422,499.5,667.5,175.0
103.0,2385628.0,591.2,11879.0,990.02,1490.5,673.5,177.1999969482422,499.5,667.5,175.0
104.0,2385628.0,591.2,11879.0,994.02,499.5,667.5,175.0,1493.5,673.5,177.1999969482422
105.0,2385628.0,591.2,11879.0,988.03,499.5,667.5,175.0,1487.5,676.5,173.89999389648438
106.0,2385828.0,591.2,11880.0,994.0,500.5,671.5,170.60000610351562,1493.5,673.5,177.1999969482422
107.0,2385828.0,591.2,11880.0,990.02,1493.5,673.5,177.1999969482422,504.5,667.5,175.0
108.0,2385828.0,591.2,11880.0,992.01,1491.5,672.5,177.1999969482422,499.5,667.5,175.0
109.0,2385828.0,591.2,11880.0,992.02,499.5,667.5,175.0,1491.5,673.5,177.1999969482422
110.0,2385828.0,591.2,11880.0,992.02,1491.5,673.5,177.1999969482422,500.5,668.5,175.0
111.0,2385828.0,591.2,11880.0,992.02,500.5,668.5,175.0,1491.5,673.5,177.1999969482422
112.0,2385828.0,591.2,11880.0,992.01,1491.5,672.5,177.1999969482422,500.5,668.5,175.0
113.0,2385828.0,591.2,11880.0,992.02,1491.5,673.5,177.1999969482422,500.5,668.5,175.0
114.0,2385828.0,591.2,11880.0,992.0,500.5,668.5,175.0,1492.5,670.5,175.0
115.0,2385828.0,591.2,11880.0,988.03,500.5,668.5,175.0,1488.5,675.5,172.8000030517578
116.0,2385828.0,591.2,11880.0,992.0,499.5,667.5,175.0,1491.5,670.5,175.0
117.0,2385828.0,591.2,11880.0,992.0,499.5,667.5,175.0,1491.5,670.5,175.0
118.0,2386029.0,591.2,11881.0,990.02,499.5,667.5,175.0,1489.5,673.5,170.60000610351562
119.0,2386029.0,591.2,11881.0,988.03,499.5,667.5,175.0,1487.5,676.5,173.89999389648438
120.0,2386029.0,591.2,11881.0,992.01,499.5,667.5,175.0,1491.5,672.5,176.10000610351562
121.0,2386029.0,591.2,11881.0,992.01,499.5,667.5,175.0,1491.5,672.5,176.10000610351562
122.0,2386029.0,591.2,11881.0,986.03,499.5,667.5,175.0,1486.5,676.5,173.89999389648438
123.0,2386029.0,591.2,11881.0,986.03,499.5,667.5,175.0,1486.5,676.5,173.89999389648438
124.0,2386029.0,591.2,11881.0,994.03,499.5,667.5,175.0,1494.5,676.5,172.8000030517578
125.0,2386029.0,591.2,11881.0,990.02,499.5,667.5,175.0,1490.5,673.5,177.1999969482422
126.0,2386029.0,591.2,11881.0,992.01,499.5,667.5,175.0,1491.5,672.5,177.1999969482422
127.0,2386029.0,591.2,11881.0,992.01,499.5,667.5,175.0,1491.5,672.5,177.1999969482422
128.0,2386029.0,591.2,11881.0,992.01,499.5,667.5,175.0,1491.5,672.5,177.1999969482422
129.0,2386029.0,591.2,11881.0,992.01,1491.5,672.5,177.1999969482422,499.5,667.5,175.0
130.0,2386231.0,591.2,11882.0,992.01,1491.5,672.5,177.1999969482422,499.5,667.5,175.0
131.0,2386231.0,591.2,11882.0,992.0,499.5,667.5,175.0,1492.5,670.5,175.0
132.0,2386231.0,591.2,11882.0,992.01,499.5,667.5,175.0,1491.5,672.5,177.1999969482422
133.0,2386231.0,591.2,11882.0,986.03,499.5,667.5,175.0,1486.5,676.5,173.89999389648438
134.0,2386231.0,591.2,11882.0,992.02,499.5,667.5,175.0,1492.5,673.5,177.1999969482422
135.0,2386231.0,591.2,11882.0,992.02,499.5,667.5,175.0,1492.5,673.5,177.1999969482422
136.0,2386231.0,591.2,11882.0,986.01,1491.5,672.5,177.1999969482422,505.5,667.5,175.0
137.0,2386231.0,591.2,11882.0,986.01,1491.5,672.5,177.1999969482422,505.5,667.5,175.0
138.0,2386231.0,591.2,11882.0,992.0,500.5,672.5,170.60000610351562,1491.5,670.5,175.0
139.0,2386231.0,591.2,11882.0,992.0,500.5,672.5,170.60000610351562,1491.5,670.5,175.0
140.0,2386231.0,591.2,11882.0,992.0,500.5,672.5,170.60000610351562,1491.5,670.5,175.0
141.0,2386231.0,591.2,11882.0,990.0,1490.5,673.5,177.1999969482422,500.5,672.5,170.60000610351562
142.0,2386434.0,591.3,11883.0,992.0,500.5,672.5,170.60000610351562,1491.5,673.5,177.1999969482422
143.0,2386434.0,591.3,11883.0,992.0,500.5,672.5,170.60000610351562,1491.5,671.5,175.0
144.0,2386434.0,591.3,11883.0,994.0,500.5,672.5,170.60000610351562,1493.5,673.5,177.1999969482422
145.0,2386434.0,591.3,11883.0,998.02,1491.5,672.5,177.1999969482422,494.5,666.5,170.60000610351562
146.0,2386434.0,591.3,11883.0,992.0,500.5,672.5,170.60000610351562,1491.5,672.5,177.1999969482422
147.0,2386434.0,591.3,11883.0,992.0,500.5,672.5,170.60000610351562,1491.5,672.5,177.1999969482422
148.0,2386434.0,591.3,11883.0,990.01,1491.5,672.5,177.1999969482422,501.5,667.5,175.0
149.0,2386434.0,591.3,11883.0,992.01,1491.5,672.5,177.1999969482422,500.5,668.5,175.0
150.0,2386434.0,591.3,11883.0,990.02,1490.5,673.5,177.1999969482422,499.5,667.5,175.0
151.0,2386434.0,591.3,11883.0,990.01,1490.5,673.5,177.1999969482422,499.5,670.5,169.5
152.0,2386434.0,591.3,11883.0,992.03,499.5,670.5,169.5,1491.5,677.5,172.8000030517578
153.0,2386434.0,591.3,11883.0,994.0,500.5,672.5,170.60000610351562,1493.5,670.5,173.89999389648438
154.0,2386434.0,591.3,11883.0,992.0,1491.5,672.5,177.1999969482422,499.5,671.5,169.5
155.0,2386664.0,591.3,11884.0,990.0,500.5,671.5,170.60000610351562,1490.5,673.5,177.1999969482422
156.0,2386664.0,591.3,11884.0,990.02,1490.5,673.5,177.1999969482422,500.5,668.5,175.0
157.0,2386664.0,591.3,11884.0,990.01,1490.5,673.5,177.1999969482422,500.5,670.5,169.5
158.0,2386664.0,591.3,11884.0,988.0,1490.5,673.5,177.1999969482422,501.5,672.5,170.60000610351562
159.0,2386664.0,591.3,11884.0,990.0,1490.5,673.5,177.1999969482422,500.5,671.5,170.60000610351562
160.0,2386664.0,591.3,11884.0,992.01,1491.5,671.5,175.0,500.5,668.5,175.0
161.0,2386664.0,591.3,11884.0,990.01,499.5,669.5,168.39999389648438,1489.5,673.5,170.60000610351562
162.0,2386664.0,591.3,11884.0,988.03,499.5,667.5,175.0,1488.5,675.5,172.8000030517578
163.0,2386664.0,591.3,11884.0,986.02,499.5,669.5,168.39999389648438,1486.5,676.5,173.89999389648438
164.0,2386664.0,591.3,11884.0,992.0,1491.5,672.5,177.1999969482422,500.5,672.5,170.60000610351562
165.0,2386664.0,591.3,11884.0,992.0,499.5,670.5,169.5,1491.5,672.5,177.1999969482422
166.0,2386664.0,591.3,11884.0,986.01,1492.5,672.5,177.1999969482422,505.5,667.5,175.0
167.0,2386664.0,591.3,11884.0,986.01,1492.5,672.5,177.1999969482422,505.5,667.5,175.0
168.0,2386866.0,591.4,11885.0,988.02,1491.5,672.5,177.1999969482422,503.5,665.5,172.8000030517578
169.0,2386866.0,591.4,11885.0,986.01,1491.5,672.5,177.1999969482422,505.5,667.5,175.0
170.0,2386866.0,591.4,11885.0,984.02,1488.5,672.5,177.1999969482422,503.5,665.5,172.8000030517578
171.0,2386866.0,591.4,11885.0,986.03,503.5,665.5,172.8000030517578,1489.5,673.5,170.60000610351562
172.0,2386866.0,591.4,11885.0,984.02,505.5,667.5,175.0,1489.5,673.5,177.1999969482422
173.0,2386866.0,591.4,11885.0,1000.05,1494.5,676.5,172.8000030517578,494.5,666.5,170.60000610351562
174.0,2386866.0,591.4,11885.0,992.0,1491.5,672.5,177.1999969482422,499.5,671.5,170.60000610351562
175.0,2386866.0,591.4,11885.0,992.01,499.5,667.5,175.0,1491.5,672.5,177.1999969482422
176.0,2386866.0,591.4,11885.0,988.01,504.5,667.5,175.0,1491.5,672.5,177.1999969482422
177.0,2386866.0,591.4,11885.0,992.02,1491.5,672.5,177.1999969482422,500.5,665.5,172.8000030517578
178.0,2386866.0,591.4,11885.0,992.01,1491.5,672.5,177.1999969482422,499.5,667.5,175.0
179.0,2386866.0,591.4,11885.0,994.03,1494.5,676.5,172.8000030517578,499.5,667.5,175.0
180.0,2387070.0,591.4,11886.0,990.0,1489.5,673.5,177.1999969482422,500.5,672.5,170.60000610351562
181.0,2387070.0,591.4,11886.0,986.0,504.5,667.5,175.0,1490.5,670.5,175.0
182.0,2387070.0,591.4,11886.0,992.0,1491.5,672.5,177.1999969482422,500.5,672.5,170.60000610351562
183.0,2387070.0,591.4,11886.0,992.0,500.5,672.5,170.60000610351562,1491.5,673.5,176.10000610351562
184.0,2387070.0,591.4,11886.0,990.0,1491.5,672.5,177.1999969482422,501.5,672.5,170.60000610351562
185.0,2387070.0,591.4,11886.0,992.01,499.5,667.5,175.0,1492.5,671.5,175.0
186.0,2387070.0,591.4,11886.0,992.01,499.5,667.5,175.0,1492.5,671.5,175.0
187.0,2387070.0,591.4,11886.0,990.02,499.5,667.5,175.0,1489.5,673.5,170.60000610351562
