READ_NUMBER	READ_TIMER	READ_INTERVAL	READ_EXT_TEMP	READ_INT_TEMP	READ_CURRENT	READ_VOLTAGE	READ_HEAT	READ_POWER	READ_ON
207	43045	193	30.0	237.3	0.000438	0.149611	-2.01	0.0001	1
208	43238	193	30.0	237.3	0.001225	0.149611	-2.01	0.0002	1
209	43430	192	30.0	237.3	0.000413	0.149611	-2.01	0.0001	1
210	43623	193	30.0	237.3	0.001188	0.147717	0.87	0.0002	1
211	43815	192	30.0	237.3	0.000613	0.151505	0.87	0.0001	1
212	44008	193	30.0	237.3	0.001063	0.149611	0.87	0.0002	1
213	44199	191	30.0	237.2	0.000613	0.153398	0.87	0.0001	1
214	44394	195	30.0	237.3	0.000650	0.145823	0.87	0.0001	1
215	44591	197	30.0	237.3	0.001163	0.147717	0.87	0.0002	1
216	44782	191	30.0	237.3	0.000538	0.147717	0.87	0.0001	1
217	44974	192	30.1	237.3	0.001113	0.149611	0.87	0.0002	1
218	45165	191	30.1	237.3	0.000500	0.147717	0.87	0.0001	1
219	45357	192	30.1	237.3	0.001163	0.143929	0.87	0.0002	1
220	45575	218	30.0	237.2	0.001063	0.149611	-1.68	0.0002	1
221	45766	191	30.0	237.3	0.000613	0.145823	-1.68	0.0001	1
222	45962	196	30.0	237.3	0.000488	0.147717	-1.68	0.0001	1
223	46154	192	30.0	237.3	0.001250	0.143929	-1.68	0.0002	1
224	46347	193	30.0	237.2	0.000413	0.153398	-1.68	0.0001	1
225	46539	192	30.1	237.3	0.001188	0.147717	-1.68	0.0002	1
226	46733	194	30.0	237.3	0.000538	0.153398	-1.68	0.0001	1
227	46925	192	30.0	237.3	0.000963	0.145823	-1.68	0.0001	1
228	47118	193	30.1	237.4	0.000888	0.149611	-1.68	0.0001	1
229	47310	192	30.0	237.3	0.000663	0.149611	-1.68	0.0001	1
230	47503	193	30.1	237.3	0.001200	0.145823	2.15	0.0002	1
231	47698	195	30.0	237.3	0.000513	0.149611	2.15	0.0001	1
232	47891	193	30.0	237.3	0.001113	0.149611	2.15	0.0002	1
233	48082	191	30.0	237.2	0.000525	0.151505	2.15	0.0001	1
