DISTANCE,TIME,RETRACAO,60ma_S,60ma_T,60ma_t,60ma_R,TEMPERATURE
2277.45,5145822,1.27991,2304.28667,713.03,4260813.63333,1.23833,870.8
2274.97,5175810,1.2841,2301.53267,718.355,4290813.76667,1.24239,876.2
2268.99,5205853,1.29428,2298.63467,723.69167,4320815.63333,1.24667,882.1
2267.0,5235842,1.29769,2295.80317,729.03833,4350815.83333,1.25089,888.0
2279.6,5265866,1.27629,2293.702,734.39833,4380817.68333,1.25406,894.0
2275.29,5295847,1.28356,2291.57883,739.76167,4410817.75,1.25729,899.5
2276.97,5325830,1.28072,2289.644,745.12833,4440817.88333,1.26024,905.0
2268.99,5355863,1.29428,2287.52667,750.49667,4470819.56667,1.2635,910.3
2279.28,5385842,1.27683,2286.35317,755.865,4500819.65,1.26535,915.7
2283.27,5415835,1.27014,2285.30983,761.23,4530820.75,1.267,920.8
2270.83,5445870,1.29113,2284.0565,766.605,4560822.61667,1.26901,926.6
2272.98,5475809,1.28747,2283.17117,771.98667,4590821.93333,1.27044,932.3
2278.81,5505901,1.27762,2282.41617,777.38,4620823.91667,1.27166,938.3
2272.67,5535830,1.288,2281.891,782.78,4650824.8,1.27253,944.0
2276.81,5565819,1.28099,2281.56767,788.17667,4680824.75,1.27307,949.2
2278.65,5595913,1.27789,2281.38017,793.53,4710827.51667,1.27338,953.2
2280.8,5625849,1.27428,2281.28933,798.855,4740827.91667,1.27353,956.9
2282.64,5655774,1.2712,2281.2625,804.155,4770827.31667,1.27358,959.8
2272.52,5685862,1.28825,2281.03367,809.41333,4800829.2,1.27396,962.3
2280.5,5715835,1.27478,2280.94067,814.61,4830829.1,1.27412,963.9
2272.98,5745923,1.28747,2280.65033,819.75,4860831.75,1.2746,965.8
2276.81,5775861,1.28099,2280.5595,824.81667,4890833.58333,1.27476,966.8
2285.1,5805853,1.2671,2280.57367,829.81833,4920833.93333,1.27473,968.3
2284.48,5835887,1.26813,2280.54417,834.74667,4950835.86667,1.27478,969.2
2284.33,5865879,1.26838,2280.51217,839.605,4980836.3,1.27484,970.4
2284.33,5895817,1.26838,2280.447,844.38333,5010835.9,1.27494,971.1
2286.33,5925848,1.26505,2280.51483,849.09167,5040837.16667,1.27483,971.9
2292.46,5955828,1.25493,2280.58517,853.72333,5070836.75,1.27472,972.6
2292.61,5985916,1.25468,2280.658,858.27833,5100838.88333,1.2746,973.3
2284.33,6015843,1.26838,2280.55683,862.75667,5130839.98333,1.27476,973.9
2276.36,6045838,1.28175,2280.36167,867.15833,5160840.31667,1.27509,974.4
2286.18,6075877,1.2653,2280.369,871.47833,5190841.61667,1.27508,974.8
