DISTANCE,TEMPERATURE,TIME
982.02,602.0,-149599.42011
978.03,602.0,-149582.73678
984.01,602.0,-149566.05345
980.01,602.0,-149549.37012
980.01,602.0,-149532.68679
984.02,602.0,-149516.00346
980.02,602.0,-149499.32013
980.01,602.0,-149482.6368
982.02,602.0,-149465.95347
982.02,602.0,-149449.27014
980.01,602.0,-149432.58681
978.02,602.0,-149415.90348
980.02,602.0,-149399.22015
976.03,602.0,-149382.53682
980.0,602.0,-149365.85349
982.0,602.0,-149349.17016
982.01,602.0,-149332.48683
982.01,602.0,-149315.8035
980.02,602.0,-149299.12017
982.0,602.0,-149282.43684
982.03,602.0,-149265.75351
982.03,602.0,-149249.07018
984.0,602.1,-149232.38685
978.01,602.1,-149215.70352
984.0,602.1,-149199.02019
984.0,602.1,-149182.33686
984.03,602.1,-149165.65353
980.01,602.1,-149148.9702
982.02,602.1,-149132.28687
984.01,602.1,-149115.60354
990.01,602.1,-149098.92021
978.01,602.1,-149082.23688
980.02,602.1,-149065.55355
980.01,602.1,-149048.87022
982.01,602.1,-149032.18689
984.0,602.1,-149015.50356
980.03,602.1,-148998.82023
980.03,602.1,-148982.1369
980.0,602.1,-148965.45357
980.0,602.1,-148948.77024
982.01,602.1,-148932.08691
980.01,602.1,-148915.40358
980.01,602.1,-148898.72025
978.01,602.1,-148882.03692
988.0,602.1,-148865.35359
988.0,602.1,-148848.67026
978.01,602.1,-148831.98693
982.02,602.1,-148815.3036
984.0,602.1,-148798.62027
984.0,602.1,-148781.93694
976.01,602.1,-148765.25361
984.0,602.1,-148748.57028
988.0,602.1,-148731.88695000001
986.01,602.1,-148715.20362000001
978.01,602.1,-148698.52029000001
982.0,602.1,-148681.83696000002
980.02,602.1,-148665.15363000002
978.0,602.1,-148648.47030000002
978.0,602.1,-148631.78697000002
984.01,602.1,-148615.10364000002
984.0,602.1,-148598.42031000002
984.0,602.1,-148581.73698000002
982.02,602.1,-148565.05365000002
980.01,602.1,-148548.37032000002
980.01,602.1,-148531.68699000002
980.01,602.1,-148515.00366000002
982.0,602.1,-148498.32033000002
980.01,602.1,-148481.63700000002
984.0,602.1,-148464.95367000002
982.0,602.1,-148448.27034000002
982.0,602.2,-148431.58701000002
982.0,602.2,-148414.90368000002
982.0,602.2,-148398.22035000002
982.0,602.2,-148381.53702000002
982.01,602.2,-148364.85369000002
982.01,602.2,-148348.17036000002
982.0,602.2,-148331.48703000002
980.01,602.2,-148314.80370000002
990.01,602.2,-148298.12037000002
980.01,602.2,-148281.43704000002
984.02,602.2,-148264.75371000002
984.0,602.2,-148248.07038000002
980.01,602.2,-148231.38705000002
978.02,602.2,-148214.70372000002
978.02,602.2,-148198.02039000002
982.0,602.2,-148181.33706000002
978.05,602.2,-148164.65373000002
978.02,602.2,-148147.97040000002
982.02,602.2,-148131.28707000002
982.02,602.2,-148114.60374000002
988.0,602.2,-148097.92041000002
982.02,602.2,-148081.23708000002
982.0,602.2,-148064.55375000002
982.0,602.2,-148047.87042000002
984.03,602.3,-148031.18709000002
982.02,602.3,-148014.50376000002
982.02,602.3,-147997.82043000002
980.01,602.3,-147981.13710000002
982.02,602.3,-147964.45377000002
980.01,602.3,-147947.77044000002
982.0,602.3,-147931.08711000002
982.01,602.3,-147914.40378000002
980.01,602.3,-147897.72045000002
982.0,602.3,-147881.03712000002
980.0,602.3,-147864.35379000002
982.0,602.3,-147847.67046000002
978.03,602.3,-147830.98713000002
982.02,602.3,-147814.30380000002
982.0,602.3,-147797.62047000002
976.05,602.3,-147780.93714000002
982.0,602.3,-147764.25381000002
982.0,602.3,-147747.57048000002
982.0,602.3,-147730.88715000002
980.0,602.3,-147714.20382000002
978.0,602.3,-147697.52049000002
982.0,602.3,-147680.83716000002
980.01,602.3,-147664.15383000002
978.01,602.3,-147647.47050000002
978.0,602.3,-147630.78717000003
986.02,602.3,-147614.10384000003
984.0,602.3,-147597.42051000003
982.01,602.3,-147580.73718000003
980.01,602.3,-147564.05385000003
978.02,602.3,-147547.37052000003
976.01,602.3,-147530.68719000003
976.01,602.3,-147514.00386000003
982.03,602.3,-147497.32053000003
980.01,602.3,-147480.63720000003
980.03,602.3,-147463.95387000003
986.01,602.3,-147447.27054000003
978.0,602.3,-147430.58721000003
978.0,602.3,-147413.90388000003
970.01,602.3,-147397.22055000003
976.02,602.3,-147380.53722000003
986.0,602.3,-147363.85389000003
980.01,602.3,-147347.17056000003
986.01,602.3,-147330.48723000003
982.01,602.3,-147313.80390000003
984.0,602.3,-147297.12057
982.0,602.3,-147280.43724
982.02,602.3,-147263.75391
982.0,602.3,-147247.07058
984.0,602.4,-147230.38725
980.01,602.4,-147213.70392
980.02,602.4,-147197.02059
984.05,602.4,-147180.33726
980.01,602.4,-147163.65393
986.0,602.4,-147146.9706
988.0,602.4,-147130.28727
980.0,602.4,-147113.60394
978.01,602.4,-147096.92061
984.02,602.4,-147080.23728
978.03,602.4,-147063.55395
978.03,602.4,-147046.87062
986.0,602.4,-147030.18729
982.01,602.4,-147013.50396
984.02,602.4,-146996.82063
986.0,602.4,-146980.1373
978.0,602.4,-146963.45397
978.0,602.4,-146946.77064
982.0,602.4,-146930.08731
984.0,602.4,-146913.40398
982.02,602.4,-146896.72065
980.02,602.4,-146880.03732
982.02,602.4,-146863.35399
982.02,602.4,-146846.67066
980.02,602.5,-146829.98733
978.02,602.5,-146813.304
980.0,602.5,-146796.62067
980.0,602.5,-146779.93734
978.01,602.5,-146763.25401
978.01,602.5,-146746.57068
978.02,602.5,-146729.88735
984.01,602.5,-146713.20402
980.02,602.5,-146696.52069
982.01,602.5,-146679.83736
986.01,602.5,-146663.15403
980.0,602.5,-146646.4707
980.02,602.5,-146629.78737
984.03,602.5,-146613.10404
982.0,602.5,-146596.42071
978.01,602.5,-146579.73738
978.01,602.5,-146563.05405
980.01,602.5,-146546.37072
982.0,602.5,-146529.68739
978.02,602.5,-146513.00406
978.02,602.5,-146496.32073
980.01,602.5,-146479.6374
980.01,602.5,-146462.95407
980.01,602.5,-146446.27074
