DISTANCE,TIME,RETRACAO,60ma_S,60ma_T,60ma_t,60ma_R,TEMPERATURE
2440.21,3375802.0,1.0405,2449.24533,408.01833,2490765.68333,1.02907,556.7
2296.93,10084193.0,1.24762,2296.63783,711.94,9199162.83333,1.24823,560.7
2442.87,3405741.0,1.03711,2449.092,413.00667,2520766.46667,1.02927,561.9
2301.24,10054114.0,1.24062,2296.388,717.035,9169162.48333,1.24864,565.9
2436.89,3435830.0,1.04476,2448.95917,418.00667,2550767.25,1.02944,567.2
2281.26,10024177.0,1.2735,2296.033,722.12833,9139163.0,1.24923,571.0
2405.67,3465755.0,1.08597,2448.19183,423.00667,2580767.76667,1.03044,572.4
2305.67,9994233.0,1.23348,2296.3185,727.21833,9109162.63333,1.24876,576.2
2402.68,3495843.0,1.09003,2447.5855,428.02,2610768.41667,1.03124,577.7
2301.34,9964141.0,1.24046,2296.19933,732.30833,9079160.01667,1.24895,581.3
2393.06,3525822.0,1.10322,2446.7525,433.02667,2640769.91667,1.03234,583.0
2276.76,9934202.0,1.28107,2295.876,737.39833,9049159.3,1.24948,586.4
2396.03,3555762.0,1.09913,2445.88183,438.03333,2670770.48333,1.03349,588.2
2293.35,9904217.0,1.25347,2295.929,742.48333,9019158.73333,1.24939,591.4
2349.69,3585837.0,1.16545,2444.14533,443.04833,2700771.65,1.03586,593.6
2299.24,9874177.0,1.24386,2295.73883,747.57167,8989156.66667,1.24971,596.7
2345.87,3615769.0,1.17115,2442.6255,448.06833,2730771.85,1.03797,598.9
2301.03,9844193.0,1.24096,2295.52717,752.65167,8959155.53333,1.25006,601.8
2346.03,3645758.0,1.17091,2441.13567,453.09833,2760772.93333,1.04004,604.1
2297.03,9814106.0,1.24745,2295.53383,757.72667,8929155.3,1.25005,607.1
2326.1,3675850.0,1.20127,2439.01767,458.13667,2790774.03333,1.043,609.4
2303.34,9784168.0,1.23723,2295.6875,762.79167,8899155.16667,1.2498,612.2
2324.11,3705782.0,1.20436,2436.80017,463.18333,2820775.11667,1.04608,614.7
2292.94,9754184.0,1.25414,2295.736,767.85167,8869155.05,1.24972,617.3
2304.18,3735777.0,1.23588,2434.649,468.23833,2850776.51667,1.04919,620.0
2270.76,9724143.0,1.29125,2295.55667,772.905,8839154.76667,1.25002,622.4
2296.21,3765822.0,1.24879,2432.18417,473.31167,2880777.16667,1.05274,625.4
2281.26,9694205.0,1.2735,2296.22517,777.95,8809154.58333,1.24891,627.5
2289.9,3795747.0,1.25914,2429.56533,478.41333,2910777.46667,1.05653,632.0
2301.13,9664208.0,1.2408,2296.384,782.99333,8779153.56667,1.24865,632.8
2286.25,3825825.0,1.26518,2427.06033,483.52333,2940777.48333,1.0602,637.4
2295.04,9634127.0,1.2507,2296.44667,788.02333,8749151.0,1.24855,638.0
2284.25,3855810.0,1.26851,2424.41083,488.62833,2970778.18333,1.06406,641.8
2293.69,9604188.0,1.25291,2296.64617,793.045,8719151.03333,1.24823,643.1
2286.25,3885749.0,1.26518,2421.6705,493.73167,3000778.2,1.06803,646.8
2295.57,9574251.0,1.24984,2296.55817,798.05667,8689150.4,1.24837,648.3
2286.08,3915841.0,1.26547,2419.0155,498.84,3030779.25,1.07189,652.1
2281.05,9544159.0,1.27386,2296.88417,803.05667,8659148.03333,1.24785,653.4
2290.4,3945764.0,1.25832,2416.369,503.955,3060779.21667,1.07571,657.4
2293.69,9514218.0,1.25291,2296.87167,808.04667,8629147.3,1.24787,658.5
2282.26,3975751.0,1.27183,2413.71667,509.08,3090780.01667,1.07959,662.8
2285.26,9484125.0,1.26683,2297.02067,813.025,8599146.7,1.24763,663.7
2284.25,4005832.0,1.26851,2411.08267,514.225,3120780.81667,1.08343,668.2
2305.56,9454182.0,1.23366,2297.35217,817.99167,8569146.13333,1.24709,668.8
2286.25,4035771.0,1.26518,2408.45183,519.365,3150780.96667,1.08726,673.5
2307.55,9424204.0,1.23047,2297.45417,822.94,8539145.58333,1.24692,674.0
2286.25,4065853.0,1.26518,2405.78467,524.50833,3180783.63333,1.09113,678.9
2305.34,9394163.0,1.23401,2297.38767,827.87,8509144.83333,1.24703,679.3
2299.0649999999996,6730004.0,1.2443149999999998,2350.204835,681.2125,5844964.350000001,1.171105,684.4
2282.26,4125772.0,1.27183,2400.49567,534.80833,3240784.73333,1.09884,689.4
2295.91,9334230.0,1.24928,2296.8275,837.60667,8424339.23333,1.24794,689.6
2293.9049999999997,6729995.5,1.25261,2347.165085,691.1575,5820159.158335,1.1755900000000001,694.7
2295.35,9274199.0,1.2502,2296.24767,847.00667,8314727.78333,1.2489,699.8
2288.24,4185788.0,1.26189,2395.13117,545.12,3300785.53333,1.1066,700.0
2305.9,9244121.0,1.23311,2296.202,851.565,8259923.06667,1.24897,705.1
2290.4,4215777.0,1.25832,2392.503,550.28167,3330786.2,1.11039,705.2
2288.07,4245818.0,1.26217,2389.9055,555.445,3360786.21667,1.11417,710.3
2283.37,9214183.0,1.26998,2295.978,856.02333,8205118.18333,1.24934,710.4
2305.67,9184188.0,1.23348,2296.02733,860.38167,8150312.6,1.24925,715.5
2285.74,4275799.0,1.26603,2387.19367,560.61333,3390787.05,1.1181,715.6
2305.78,9154111.0,1.23331,2295.67167,864.64167,8095506.41667,1.24984,720.7
2288.24,4305841.0,1.26189,2384.5265,565.78667,3420788.85,1.12196,720.8
2297.35,9124173.0,1.24693,2295.31417,868.80333,8040702.55,1.25042,725.8
2286.25,4335821.0,1.26518,2381.85933,570.96167,3450788.9,1.12583,726.0
2277.27,9094188.0,1.28021,2295.09967,872.86,7985897.78333,1.25077,730.7
2288.07,4365802.0,1.26217,2379.2225,576.14333,3480789.75,1.12966,731.3
2297.91,9064144.0,1.24602,2295.23017,876.82,7931092.2,1.25056,735.8
2288.07,4395847.0,1.26217,2376.5555,581.32833,3510791.53333,1.13352,736.5
2305.78,9034169.0,1.23331,2294.8785,880.67,7876287.48333,1.25114,740.7
2279.6,4425842.0,1.27629,2373.75633,586.53833,3540792.6,1.1376,741.9
2296.03,9004125.0,1.24909,2294.33183,884.42167,7821483.38333,1.25204,745.7
2288.24,4455777.0,1.26189,2371.03767,591.785,3570792.85,1.14153,747.1
2296.03,8974150.0,1.24909,2294.073,888.05833,7766678.55,1.25247,750.8
2290.23,4485870.0,1.2586,2368.36083,597.01833,3600794.08333,1.14539,752.3
2307.89,8944166.0,1.22993,2293.68117,891.58333,7711873.75,1.25312,755.7
2294.22,4515808.0,1.25204,2365.60617,602.24667,3630794.53333,1.14932,757.6
2296.15,8914130.0,1.24889,2293.26033,894.985,7657067.21667,1.25381,760.4
2290.23,4545853.0,1.2586,2362.85133,607.47667,3660796.13333,1.15328,762.9
2316.99,8884137.0,1.21549,2293.0045,898.26,7602262.53333,1.25423,765.9
2290.23,4575845.0,1.2586,2360.12383,612.70833,3690796.95,1.1572,768.2
2309.89,8854200.0,1.22674,2292.3655,901.38167,7547458.8,1.25527,770.9
2290.23,4605784.0,1.2586,2357.369,617.94333,3720796.91667,1.16116,773.4
2293.57,8824157.0,1.25311,2291.81417,904.35333,7492652.45,1.25618,775.9
2277.28,4635867.0,1.28019,2354.537,623.18333,3750799.33333,1.1653,778.7
2296.27,8794170.0,1.24869,2291.46583,907.155,7437847.0,1.25676,781.0
2294.22,4665806.0,1.25204,2351.92383,628.42667,3780799.26667,1.16905,784.0
2300.51,8764127.0,1.2418,2291.17483,909.77667,7383042.51667,1.25724,785.9
2290.23,4695798.0,1.2586,2349.13283,633.67667,3810800.33333,1.17306,789.3
2287.26,8734135.0,1.26351,2290.716,912.21667,7328237.21667,1.258,791.0
2267.16,4725836.0,1.29741,2345.92417,638.93,3840800.71667,1.17775,794.5
2300.39,8704192.0,1.242,2290.44217,914.47667,7273432.8,1.25846,796.1
2282.09,4755822.0,1.27212,2343.11167,644.18833,3870801.01667,1.18183,799.8
2286.05,8674105.0,1.26552,2290.15683,916.555,7218626.85,1.25893,801.0
2278.96,4785865.0,1.27736,2340.13283,649.45333,3900803.11667,1.18615,805.3
2283.59,8644165.0,1.26961,2290.044,918.46667,7163822.46667,1.25912,806.1
2288.24,4815853.0,1.26189,2337.42283,654.72167,3930803.55,1.19006,810.6
2310.25,8614176.0,1.22616,2289.80067,920.20333,7109017.43333,1.25953,811.0
2283.755,6714959.5,1.2696550000000002,2311.8023350000003,790.8841649999999,5507507.74167,1.2275,816.1
2296.52,8554156.0,1.24829,2288.85883,923.16,6999406.78333,1.26108,821.2
2275.45,4875868.0,1.28328,2331.32717,665.28333,3990805.81667,1.19896,821.7
2277.71,8524109.0,1.27947,2288.57683,924.37333,6944601.95,1.26155,826.2
2280.96,4905802.0,1.27401,2328.38167,670.56833,4020805.33333,1.20322,827.0
2298.27,8494130.0,1.24544,2288.39833,925.40333,6889797.5,1.26185,831.3
2272.98,4935794.0,1.28747,2325.30617,675.85667,4050805.83333,1.2077,832.3
2292.4,8464134.0,1.25503,2287.91033,926.25,6834992.88333,1.26267,836.3
2271.14,4965832.0,1.2906,2322.16383,681.15,4080807.3,1.21228,837.8
2297.03,8434109.0,1.24745,2287.61983,926.915,6780187.48333,1.26315,841.3
2275.45,4995812.0,1.28328,2319.09633,686.45333,4110808.0,1.21673,843.5
2312.24,8404121.0,1.223,2287.2935,927.40667,6725382.7,1.26369,846.5
2274.97,5025905.0,1.2841,2316.129,691.76167,4140810.65,1.22106,849.0
2292.04,8374181.0,1.25562,2286.70567,927.72167,6670578.73333,1.26465,851.4
2277.13,5055834.0,1.28045,2313.2005,697.075,4170810.85,1.22533,854.5
2292.53,8344105.0,1.25482,2286.35483,927.86167,6615772.53333,1.26524,856.3
2270.99,5085809.0,1.29086,2310.05567,702.38833,4200811.03333,1.22991,859.8
2314.36,8314161.0,1.21964,2286.09817,927.83167,6560968.01667,1.26567,861.4
2276.97,5115883.0,1.28072,2307.191,707.70833,4230813.53333,1.23409,865.4
2281.94,8284172.0,1.27237,2285.44167,927.625,6506163.75,1.26674,866.4
2277.45,5145822.0,1.27991,2304.28667,713.03,4260813.63333,1.23833,870.8
2279.94,8254145.0,1.27572,2285.3335,927.24333,6451357.75,1.26692,871.5
2274.97,5175810.0,1.2841,2301.53267,718.355,4290813.76667,1.24239,876.2
2298.39,8224155.0,1.24524,2285.18683,926.68167,6396552.53333,1.26717,876.4
2298.52,8194076.0,1.24503,2284.76333,925.94667,6341746.51667,1.26788,881.6
2268.99,5205853.0,1.29428,2298.63467,723.69167,4320815.63333,1.24667,882.1
2281.94,8164098.0,1.27237,2284.47067,925.03667,6286941.95,1.26836,886.7
2267.0,5235842.0,1.29769,2295.80317,729.03833,4350815.83333,1.25089,888.0
2279.94,8134168.0,1.27572,2284.3625,923.95333,6232138.11667,1.26854,891.5
2279.6,5265866.0,1.27629,2293.702,734.39833,4380817.68333,1.25406,894.0
2281.94,8104093.0,1.27237,2284.18,922.69667,6177331.63333,1.26885,896.7
2275.29,5295847.0,1.28356,2291.57883,739.76167,4410817.75,1.25729,899.5
2286.54,8074109.0,1.2647,2284.285,921.26167,6122527.63333,1.26868,901.5
2276.97,5325830.0,1.28072,2289.644,745.12833,4440817.88333,1.26024,905.0
2301.43,8044179.0,1.24031,2284.15867,919.65833,6067723.56667,1.26889,906.3
2268.99,5355863.0,1.29428,2287.52667,750.49667,4470819.56667,1.2635,910.3
2306.25,8014098.0,1.23255,2283.83633,917.88333,6012917.61667,1.26942,911.0
2279.28,5385842.0,1.27683,2286.35317,755.865,4500819.65,1.26535,915.7
2306.25,7984161.0,1.23255,2283.18483,915.94167,5958113.25,1.2705,915.8
2282.18,7954167.0,1.27196,2282.91783,913.83333,5903307.2,1.27093,920.5
2283.27,5415835.0,1.27014,2285.30983,761.23,4530820.75,1.267,920.8
