Size,Time,RetracaoCubica,60ma_S,60ma_T,60ma_t,60ma_R,Temperature
2685.19,4230,1.0598,2723.27217,598.555,3345.0,1.01727,756.5
2687.44,4260,1.05714,2721.80067,603.86,3375.0,1.01889,761.7
2674.92,4290,1.07205,2720.0595,609.16667,3405.0,1.02083,767.0
2677.45,4320,1.06902,2718.59033,614.47833,3435.0,1.02248,772.4
2671.08,4350,1.0766799999999999,2716.7795,619.79167,3465.0,1.02451,777.6
2683.02,4380,1.06237,2715.472,625.11167,3495.0,1.02597,783.0
2677.65,4410,1.0687799999999998,2714.08117,630.43667,3525.0,1.02754,788.3
2679.26,4440,1.06685,2712.7755,635.765,3555.0,1.02901,793.5
2681.44,4470,1.06425,2711.5095,641.1,3585.0,1.03044,799.0
2675.58,4500,1.07126,2709.977,646.43667,3615.0,1.03216,804.2
2667.08,4530,1.0815299999999999,2708.37367,651.78333,3645.0,1.03398,809.6
2685.65,4560,1.05925,2707.15033,657.13333,3675.0,1.03535,814.9
2680.51,4590,1.06536,2705.67283,662.485,3705.0,1.037,820.1
2692.25,4620,1.05148,2704.52433,667.84333,3735.0,1.03828,825.5
2665.14,4650,1.0839,2702.85533,673.205,3765.0,1.04017,830.8
2665.88,4680,1.08299,2701.134,678.57,3795.0,1.04212,836.2
2691.71,4710,1.0521200000000002,2699.91183,683.93667,3825.0,1.04348,841.5
2670.97,4740,1.07681,2698.30867,689.30333,3855.0,1.04528,846.7
2687.86,4770,1.05664,2696.75183,694.67167,3885.0,1.047,852.1
2667.26,4800,1.08131,2695.15633,700.04333,3915.0,1.04881,857.5
2682.02,4830,1.06356,2693.80683,705.41667,3945.0,1.05032,862.9
2661.95,4860,1.0878,2692.05333,710.79,3975.0,1.05231,868.2
2660.71,4890,1.08932,2690.381,716.165,4005.0,1.05422,873.6
2673.32,4920,1.07398,2688.7505,721.54167,4035.0,1.05605,879.1
2688.25,4950,1.05618,2687.66667,726.92333,4065.0,1.05727,884.8
2690.33,4980,1.0537299999999998,2686.65283,732.31167,4095.0,1.05841,890.5
2672.52,5010,1.07494,2685.1755,737.705,4125.0,1.06008,896.2
2677.65,5040,1.0687799999999998,2684.04933,743.095,4155.0,1.06136,901.4
2679.58,5070,1.06647,2683.09317,748.48333,4185.0,1.06246,906.8
2673.26,5100,1.07405,2681.99467,753.87333,4215.0,1.06372,912.2
2665.45,5130,1.08352,2681.06067,759.26,4245.0,1.06481,917.4
2777.84,5160,0.95725,2682.04217,764.64167,4275.0,1.06375,922.6
2843.01,5190,0.89292,2684.23633,770.01667,4305.0,1.06148,927.7
2701.5,5220,1.04072,2684.20617,775.39333,4335.0,1.06151,933.2
2692.33,5250,1.05139,2684.19083,780.77167,4365.0,1.06153,938.8
2807.42,5280,0.9273100000000001,2686.128,786.14333,4395.0,1.05944,944.1
2701.78,5310,1.04039,2686.54333,791.50833,4425.0,1.05895,949.3
2701.78,5340,1.04039,2686.8875,796.86667,4455.0,1.05855,954.9
2695.33,5370,1.04788,2687.08883,802.22,4485.0,1.05831,960.7
2695.33,5400,1.04788,2687.3615,807.555,4515.0,1.05799,965.7
2694.5,6300,1.04885,2684.17283,938.52,5415.0,1.06185,970.8
2685.72,5430,1.0591700000000002,2687.36933,812.89,4545.0,1.05798,971.7
2639.01,6270,1.1164100000000001,2683.8575,935.74333,5385.0,1.06223,975.1
2685.72,5460,1.0591700000000002,2687.581,818.20667,4575.0,1.05772,976.2
2692.86,6240,1.05077,2684.56467,932.80833,5355.0,1.06136,979.2
2674.26,5490,1.07285,2687.631,823.49667,4605.0,1.05766,979.9
2667.95,5520,1.0804799999999999,2687.20833,828.755,4635.0,1.05817,983.0
2705.85,6210,1.0357100000000001,2684.338,929.71333,5325.0,1.06163,983.3
2664.11,5550,1.08515,2686.856,833.97333,4665.0,1.05859,985.5
2667.73,6180,1.08074,2683.868,926.46333,5295.0,1.06218,987.2
2684.42,5580,1.06071,2686.84217,839.14667,4695.0,1.05861,987.8
2675.72,5610,1.0710899999999999,2686.72133,844.25833,4725.0,1.05875,989.3
2666.88,5895,1.081785,2685.406665,886.1841649999999,5010.0,1.06033,990.8
2668.44,5670,1.07988,2686.5425,854.29,4785.0,1.05897,991.9
2666.11,5700,1.08271,2686.0245,859.20167,4815.0,1.05959,992.9
2682.78,6120,1.06266,2684.14533,919.50667,5235.0,1.06184,993.9
2669.87,5730,1.07815,2685.80033,864.04167,4845.0,1.05985,994.0
2678.43,5760,1.06784,2685.85317,868.79833,4875.0,1.05979,994.4
2670.03,5790,1.07795,2685.80683,873.48167,4905.0,1.05985,995.3
2676.26,5820,1.07044,2685.49033,878.08333,4935.0,1.06022,995.7
2666.19,5850,1.0826200000000001,2685.30583,882.60833,4965.0,1.06044,996.3
2662.53,6090,1.08709,2684.0565,915.815,5205.0,1.06195,996.4
2674.88,5880,1.0721,2685.1975,887.05167,4995.0,1.06057,996.8
2676.1,5910,1.07063,2685.11167,891.41333,5025.0,1.06068,997.1
2663.8,5940,1.0855299999999999,2684.82183,895.69667,5055.0,1.06103,997.7
2681.135,6015,1.06481,2684.698915,905.94417,5130.0,1.06118,998.0
2672.7,6015,1.074725,2684.708165,906.03583,5130.0,1.061165,998.6
