Time,Size,RetracaoCubica,60ma_S,60ma_T,60ma_t,60ma_R,Temperature
3990,2175.46,1.472718287,2387.07317,524.50833,3105,1.472718287,678.9
4020,2175.46,1.472718287,2382.42683,529.65833,3135,1.472718287,684.4
4050,2175.46,1.472718287,2377.75517,534.80833,3165,1.472718287,689.4
4080,2175.46,1.472718287,2372.976,539.96167,3195,1.472718287,694.7
4110,2175.46,1.472718287,2368.51733,545.12,3225,1.472718287,700
4140,2175.46,1.472718287,2363.77167,550.28167,3255,1.472718287,705.2
4170,2175.46,1.472718287,2359.33083,555.445,3285,1.472718287,710.3
4200,2175.46,1.472718287,2356.713,560.61333,3315,1.472718287,715.6
4230,2175.46,1.472718287,2354.20383,565.78667,3345,1.472718287,720.8
4260,2175.46,1.472718287,2349.95467,570.96167,3375,1.472718287,726
4290,2175.46,1.472718287,2345.61783,576.14333,3405,1.472718287,731.3
4320,2175.46,1.472718287,2340.80383,581.32833,3435,1.472718287,736.5
4350,2175.46,1.472718287,2337.35517,586.53833,3465,1.472718287,741.9
4380,2175.46,1.472718287,2333.148,591.785,3495,1.472718287,747.1
4410,2175.46,1.472718287,2329.04733,597.01833,3525,1.472718287,752.3
4440,2175.46,1.472718287,2322.67533,602.24667,3555,1.472718287,757.6
4470,2175.46,1.472718287,2317.12967,607.47667,3585,1.472718287,762.9
4500,2175.46,1.472718287,2313.26467,612.70833,3615,1.472718287,768.2
4530,2175.46,1.472718287,2309.68267,617.94333,3645,1.472718287,773.4
4560,2175.46,1.472718287,2306.03633,623.18333,3675,1.472718287,778.7
4590,2175.46,1.472718287,2303.4545,628.42667,3705,1.472718287,784
4620,2175.46,1.472718287,2299.95983,633.67667,3735,1.472718287,789.3
4650,2175.46,1.472718287,2296.395,638.93,3765,1.472718287,794.5
4680,2175.46,1.472718287,2293.81033,644.18833,3795,1.472718287,799.8
4710,2175.46,1.472718287,2291.292,649.45333,3825,1.472718287,805.3
4740,2175.46,1.472718287,2296.0735,654.72167,3855,1.472718287,810.6
4770,2175.46,1.472718287,2292.88317,659.99833,3885,1.472718287,816.1
4800,2175.46,1.472718287,2289.426,665.28333,3915,1.472718287,821.7
4830,2175.46,1.472718287,2285.966,670.56833,3945,1.472718287,827
4860,2175.46,1.472718287,2282.48133,675.85667,3975,1.472718287,832.3
4890,2175.46,1.472718287,2284.451,681.15,4005,1.472718287,837.8
4920,2175.46,1.472718287,2286.6445,686.45333,4035,1.472718287,843.5
4950,2175.46,1.472718287,2288.77733,691.76167,4065,1.472718287,849
4980,2175.46,1.472718287,2287.58433,697.075,4095,1.472718287,854.5
5010,2175.46,1.472718287,2284.21617,702.38833,4125,1.472718287,859.8
5040,2175.46,1.472718287,2280.99,707.70833,4155,1.472718287,865.4
5070,2175.46,1.472718287,2277.50033,713.03,4185,1.472718287,870.8
5100,2175.46,1.472718287,2281.25267,718.355,4215,1.472718287,876.2
5130,2175.46,1.472718287,2276.9215,723.69167,4245,1.472718287,882.1
5160,2175.46,1.472718287,2274.41333,729.03833,4275,1.472718287,888
5190,2175.46,1.472718287,2271.95833,734.39833,4305,1.472718287,894
5220,2175.46,1.472718287,2269.57733,739.76167,4335,1.472718287,899.5
5250,2175.46,1.472718287,2269.8205,745.12833,4365,1.472718287,905
5280,2175.46,1.472718287,2268.03483,750.49667,4395,1.472718287,910.3
5310,2175.46,1.472718287,2266.37467,755.865,4425,1.472718287,915.7
5340,2175.46,1.472718287,2265.4905,761.23,4455,1.472718287,920.8
