DISTANCE_MA5,TEMPERATURE_MA5,TIME_MA5,RETRACAO_MA5,DISTANCE_MA1,TEMPERATURE_MA1,TIME_MA1,RETRACAO_MA1,DISTANCE_MA3,TEMPERATURE_MA3,TIME_MA3,RETRACAO_MA3
1052.95183,551.15,-212994.40578,0.9987,1053.4004166666662,551.6,-210501.916275,0.9974258333333332,1052.8091,551.5,-211135.88281,0.99911
1052.89133,551.25,-212463.87588,0.99887,1052.6283333333329,551.7,-210101.516355,0.9996133333333334,1052.69549,551.6,-210568.64959,0.99943
1053.04988,551.35,-211923.33599,0.99842,1053.8038888888887,551.8,-209601.016455,0.9962791666666668,1053.27755,551.7,-210068.14969,0.99777
1053.26609,551.45,-211372.7861,0.99781,1054.7275,551.9,-209000.41657500004,0.9936619444444448,1053.71991,551.8,-209567.64979,0.99652
1053.41695,551.55,-210832.24621,0.99738,1055.1016666666667,552.0,-208399.81669500005,0.9926025000000004,1054.54435,551.9,-209000.41657,0.99418
1053.34897,551.65,-210325.74031,0.99757,1052.7851666666668,552.1,-208039.456767,0.9991771666666662,1054.20478,552.0,-208479.89668,0.99515
1053.31338,551.75,-209815.23041,0.99767,1053.4016666666666,552.2,-207398.816895,0.9974166666666668,1053.76283,552.1,-207946.03012,0.9964
1053.45763,551.85,-209314.73051,0.99726,1053.7008333333329,552.3,-207198.61693500003,0.9965666666666664,1053.29589,552.2,-207545.6302,0.99772
1053.44699,551.95,-208799.21562,0.99729,1052.8627083333333,552.4,-206648.06704500003,0.9989552083333332,1053.32174,552.3,-207081.83362,0.99765
1053.44159,552.05,-208308.72571,0.99731,1052.00375,552.5,-206197.61713499995,1.0014,1052.85576,552.4,-206681.4337,0.99897
1053.35941,552.15,-207803.22081,0.99754,1052.5785416666665,552.6,-205446.86728500004,0.999751875,1052.48167,552.5,-206097.51715,1.00004
1053.36611,552.25,-207292.71092,0.99752,1052.6954166666665,552.7,-204996.41737500005,0.9994233333333334,1052.4259,552.6,-205546.96726,1.00019
1053.14756,552.35,-206772.19102,0.99815,1051.6183333333329,552.8,-204395.817495,1.0024986111111114,1052.29743,552.7,-204946.36738,1.00056
1052.87956,552.45,-206271.69112,0.99891,1052.0475,552.9,-203995.417575,1.0012683333333334,1052.12042,552.8,-204462.55081,1.00106
1052.71195,552.55,-205781.20122,0.99938,1053.4256250000003,553.0,-203494.91767499998,0.9973464583333336,1052.36382,552.9,-203962.05091,1.00037
1052.88019,552.65,-205266.68732,0.9989,1054.4675,553.1,-202894.31779499995,0.9943941666666668,1053.31354,553.0,-203461.55101,0.99767
1052.84529,552.75,-204756.17742,0.999,1053.0527083333334,553.2,-202293.71791500004,0.9984100000000002,1053.64861,553.1,-202894.31779,0.99672
1052.78571,552.85,-204195.61754,0.99917,1053.1050000000002,553.3,-201593.018055,0.9982541666666666,1053.54174,553.2,-202260.35125,0.99702
1052.5596,552.95,-203610.03265,0.99982,1050.6016666666667,553.4,-200792.218215,1.0054075,1052.25313,553.3,-201559.65139,1.00069
1052.59171,553.05,-203069.49276,0.99972,1052.3247916666664,553.5,-200792.218215,1.0004900000000003,1052.01049,553.4,-201059.15149,1.00138
